Depth,Sample.ID,Site,Lithology,Cluster,Alteration_Type,Alteration_Intensity,cis.C18_ug/gsed,trans.C18_ug/gsed,cis.C16_ug/gsed,trans.C16_ug/gsed,cis.C20_ug/gsed,trans.C20_ug/gsed,cis.C22_ug/gsed,trans.C22_ug/gsed,sat.C16_ug/gsed,sat.C18_ug/gsed,sat.C20_ug/gsed,sat.C22_ug/gsed
10.6,13A,C0013,Hydrothermal grit clasts,AN,Mg-Chlorite,Very High,0.256,0.056,0.025,0.004,0.307,0.19,0.2,0.156,10.565,13.772,0.336,0.502
12.36,13B,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,0.042,0.012,0.005,0.001,0.077,0.016,0.019,0.023,1.984,2.675,0.084,0.093
4.56,13C,C0013,Hydrothermal Clay,DV,Kaolinite-Musc,Very High,0.003,0.001,0,0,0.004,0.003,0.006,0,0.078,0.148,0.003,0.005
8.45,13D,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,0.018,0.004,0.001,0,0.018,0.012,0.021,0.009,0.717,1.109,0.033,0.061
3.26,13E,C0013,Hydrothermal Gravel + Hydrothermal grit matrix,DV,Kaolinite-Mus,High,0,0,0,0,0.001,0,0,0,0.022,0.017,0,0
11.61,13F,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,0.009,0.003,0.001,0,0.003,0.002,0.003,0.002,0.226,0.126,0.002,0.001
11.1,13G,C0013,Hydrothermal Gravel + Hydrothermal grit matrix,AN,Mg-Chlorite,Very High,0.092,0.032,0.001,0,0.017,0.024,0.022,0.026,0.509,0.644,0.015,0.024
8.18,13H,C0013,Hydrothermal Gravel matrix,AN,Mg-Chlorite,Very High,0.012,0.005,0.003,0.001,0.032,0.004,0.012,0.003,1.066,1.585,0.004,0.02
9,13I,C0013,Hydrothermal grit cement,AN,Mg-Chlorite,Very High,0.313,0.207,0.022,0.012,0.405,0.094,0.109,0.025,11.027,18.452,0.086,0.321
10.34,13J,C0013,Hydrothermal Gravel clasts,AN,Mg-Chlorite,Very High,0.056,0.036,0.007,0.003,0.502,0.069,0.15,0.074,4.012,6.871,0.121,0.071
81.7,14A,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,0.07,0.04,0,0,0.06,0.01,0.19,0.11,0.76,0.61,0.01,0.01
65.89,14B,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,0.1,0.05,0.01,0,0.19,0.02,0.04,0.02,2.04,3.57,0.08,0.04
35.21,14C,C0014,Hydrothermal Clay,DV,Mg-Chlorite,Very High,0.19,0.06,0,0,0.01,0.01,0.03,0.01,0,0.02,0.04,0.07
0.1,14D,C0014,Silty Clay,UA,Oxidized,Slight,0.09,0.03,0,0,0.02,0.04,0.05,0.02,2.04,1.69,0.08,0.18
94.45,14E,C0014,Clayey Hydrothermal Silt,AN,Mg-Chlorite,Very High,0.03,0.01,0,0,0.01,0.02,0.02,0.01,0.63,0.53,0.02,0.02
73.6,14F,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,0.01,0,0,0,0,0.01,0.01,0,0.21,0.18,0.01,0
94.08,14G,C0014,Clayey Hydrothermal Silt,AN,Mg-Chlorite,Very High,0.06,0.03,0,0,0.04,0.04,0.01,0.02,1.68,1.34,0.07,0.16
28.66,14H,C0014,Hydrothermal Clay,DV,Mg-Chlorite,Very High,0.07,0.05,0,0,0.01,0.02,0.08,0.05,3.26,4.03,0.14,0.22
77.02,14I,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,0.03,0.02,0,0,0.02,0.01,0.04,0.01,1.15,0.98,0.05,0.14
1.69,14J,C0014,Silty Clay,UA,Unaltered,Fresh,0.02,0.01,0,0,0.01,0.02,0.03,0,1.62,1.19,0.05,0.08
71.45,14K,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,0.01,0.01,0,0,0.01,0.02,0.03,0,0.79,0.58,0.01,0.01
10.32,14L,C0014,Clayey Hydrothermal Silt + Pumiceous grit matrix,UA,Illite/Montmo,High,0.01,0,0,0,0,0.01,0.01,0,1.48,1.24,0.04,0.06
4.26,14M,C0014,Pumiceous Gravel Clasts,UA,Glauconitic,Slight,0.02,0.01,0,0,0.01,0.03,0.05,0,1.69,1.33,0.07,0.16
23.16,14N,C0014,Hydrothermal Clay,DV,Illite/Montmo,Very High,0.03,0.01,0,0,0.01,0.03,0.04,0,2.53,1.99,0.05,0.07
83.45,14O,C0014,Hydrothermal Clay,AN,Mg-Chlorite,Very High,0.02,0.01,0,0,0.01,0.05,0.07,0.02,2.17,1.8,0.08,0.18
23.27,17A,C0017,Silty Clay,UA,Fresh,Unaltered,0.22,0.13,0.01,0,0.05,0.01,0.07,0.04,2.16,1.99,0.04,0.06
21.66,17B,C0017,Silty Clay,UA,Fresh,Unaltered,0.16,0.1,0,0,0.01,0.02,0.09,0.05,5.09,3.96,0.17,0.39
23.15,17C,C0017,Sandy Silt,UA,Fresh,Unaltered,0.05,0.03,0,0,0,0.01,0.03,0.02,1.82,1.29,0.07,0.15
132.58,17D,C0017,Clayey Silt,UA,Fresh,Unaltered,0.06,0.03,0,0,0.01,0.01,0.02,0.02,1.04,0.84,0.03,0.06
131.78,17E,C0017,Silty Clay,UA,Fresh,Unaltered,0.06,0.03,0,0,0.01,0.03,0.03,0.02,1.43,1.17,0.05,0.14
11.35,17F,C0017,Silty Clay,UA,Fresh,Unaltered,0.13,0.08,0.01,0,0.04,0.09,0.13,0.03,5.37,5.77,0.25,0.55
144.47,17G,C0017,Clay,UA,Fresh,High,0.02,0,0,0,0.01,0,0,0.01,1.06,0.89,0.04,0.11
128.76,17H,C0017,Clay,UA,Fresh,Unaltered,0.01,0,0,0,0.01,0,0,0,0.4,0.4,0.02,0.05
140.5,17I,C0017,Clay,UA,Fresh,High,0,0,0,0,0,0,0.01,0,0.2,0.18,0.01,0.03
111.36,17J,C0017,Clay,UA,Fresh,Unaltered,0,0,0,0,0,0,0.01,0,0.16,0.14,0.01,0.02
105.99,17K,C0017,Clay,UA,Fresh,Unaltered,0.12,0.05,0,0,0.03,0.02,0.06,0.01,2.4,2.04,0.12,0.3
111.91,17L,C0017,Silt,UA,Fresh,Unaltered,0.07,0.04,0,0,0.03,0.02,0.04,0.02,1.75,1.51,0.05,0.08
137.33,17M,C0017,Clay,UA,Fresh,Unaltered,0.14,0.07,0,0,0.02,0.03,0.08,0.03,3.08,2.7,0.17,0.5
